Feature,GNUR 1,GNUR 2,GNUR 3,GNUR 4,GNUR 5,CTRL 1,CTRL 2,CTRL 3,CTRL 5,CTRL 6
SM 16:0,1867435100,2229412896,1605284030,1853493430,2227704363,2405174635,2617931330,2547452103,2282258048,2186215977
SM 18:0,487937897.9,488806709.1,388420147.4,442604684.2,438265241.7,1242801680,1669023912,1830687566,1087438648,947331713.8
SM 18:1,37893584.56,38542746.02,21464345.24,29627880.29,61604556.48,51263068.78,85770260.69,90841853.47,40239132.3,44984202.21
SM 20:0,2982108243,3382877491,3156940007,3032823274,3063587189,3052257852,2623723110,2613593312,3124429917,3184628347
SM 20:1,523003038.6,510502426.1,543050536.4,387262837.8,498457686.3,276871087.8,262818007.7,248518227.1,277061389.9,311960799.5
SM 22:0,3306118101,3988688936,3790553826,3425035980,3635275061,2746131841,3027596291,2532653401,2895867526,2683996459
SM 22:1,1990864297,1683005552,1945809358,1454227900,1099762653,1769021433,963007448.6,767506925.7,1853635032,2088121674
SM 24:0,2023266202,2336360048,2013088709,2247467157,2416596085,1744487164,1959859507,1906171414,1742328637,1542954695
SM 24:1,2279441391,2479235951,2170402653,2227814467,2340095651,2220135392,2282924317,2082915911,2229108591,2340350364
SM 26:0,78101559.61,84233793.28,35433574.95,59860501.25,268142506.3,30136540.26,45870124.29,45096105.33,31476644.79,28734450.45
SM 26:1,26652831.67,23142935.91,14409428.19,21996809.48,60476231.79,13138458.66,15815230.48,20112766.81,12554802.06,10899334.56
CE 24:0,126136.99,126214.93,73684.26,76811.84,193583.85,16173.85,34669.57,18422.63,42628.78,11097.01
CE 22:6,70606.95,156222.32,96054.19,239243.83,94178.49,85330.9,64039.26,44323.71,25818.49,27513.27
CE 20:0,42799.94,47718.47,10124.57,154742.33,162881.28,104610.61,64987.81,63608.48, ,15650.13
CE 20:1,35593.26,48986.4,53913.06,32421.91,116662.09,46164.66,98112.19,9456.66,26148.7,14632.12
CE 22:5,52339.42,102515.98,93540.91,131483.15,70754.11,65961.98,60462.68,37270.45,46275.69,58514.33
CE 14:0,132485.23,111570.38,102476.27,163026.69,364454.77,49180.61,60020.01,54542.8,89310.81,79908.36
CE 16:0,55100,41804.1,55011.86,154517.77,183616.41,135105.29,99985.18,38893.49,36195.67,61678.55
CE 16:1,33251.96,87588.54,74144.69,29686.85,100246.82,70594.73,30813.1,35804.6,30837.68,79821.73
CE 18:0,58882.72,97587.34,83464.25,173288.31,266070.15,53430.26,66244.51,65338.72,59730.47,44472.53
CE 18:1,121902.22,136796.07,60866.39,155368.32,155159.11,140886.28,171546.9,100580.04,66043.34,79623.98
CE 18:2,141198.6,163394.3,142724.41,181528.49,210784.8,128298.74,121916.64,88330.43,29369.26,51899.98
