BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Hepatic PPARaKO Aortas_Ugt1a1 RNAi Livers_STK Image Analysis_7-24-22Date	Sun, 24 Jul 2022 14:58:43 GMT
	Barcode	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374109	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374121	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123	710374123
	Exposure time	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi
ID
#REF		96.0	197.0	492.0	994.0	2008.0	102.0	206.0	525.0	1063.0	2092.0	113.0	229.0	575.0	1137.0	2314.0	104.0	216.0	560.0	1107.0	2204.0	101.0	201.0	505.0	1033.0	2067.0	103.0	206.0	532.0	1052.0	2125.0	97.0	201.0	520.0	1028.0	2086.0	100.0	203.0	510.0	1025.0	2044.0	101.0	197.0	505.0	998.0	2041.0	100.0	204.0	501.0	1046.0	2093.0	104.0	212.0	532.0	1057.0	2126.0	103.0	212.0	532.0	1081.0	2124.0
#REF		95.0	189.0	468.0	944.0	1901.0	97.0	195.0	493.0	997.0	2004.0	101.0	207.0	525.0	1053.0	2098.0	99.0	207.0	520.0	1046.0	2082.0	96.0	197.0	498.0	998.0	2017.0	101.0	199.0	509.0	1012.0	2077.0	97.0	200.0	498.0	980.0	2014.0	102.0	202.0	507.0	1024.0	2052.0	98.0	200.0	494.0	991.0	1984.0	102.0	203.0	511.0	1016.0	2066.0	100.0	204.0	514.0	1036.0	2080.0	99.0	198.0	509.0	1019.0	2031.0
#REF		95.0	188.0	473.0	956.0	1902.0	94.0	190.0	470.0	943.0	1889.0	99.0	204.0	519.0	1065.0	2110.0	99.0	195.0	498.0	1005.0	2012.0	95.0	194.0	487.0	984.0	1961.0	96.0	188.0	484.0	975.0	1943.0	92.0	193.0	476.0	987.0	1953.0	97.0	195.0	503.0	999.0	2024.0	95.0	194.0	469.0	950.0	1893.0	94.0	193.0	485.0	978.0	1949.0	94.0	190.0	486.0	990.0	1977.0	92.0	191.0	485.0	988.0	1964.0
#REF		90.0	176.0	447.0	905.0	1827.0	90.0	185.0	477.0	934.0	1899.0	100.0	202.0	511.0	1054.0	2091.0	93.0	185.0	477.0	967.0	1924.0	88.0	180.0	460.0	926.0	1848.0	94.0	184.0	470.0	960.0	1923.0	90.0	179.0	464.0	961.0	1900.0	92.0	188.0	472.0	943.0	1891.0	90.0	186.0	448.0	904.0	1815.0	95.0	189.0	469.0	971.0	1922.0	91.0	188.0	469.0	957.0	1931.0	95.0	193.0	486.0	969.0	1963.0
