Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P43403	ZAP70	2.34129663406392	0.96657624451305	3.30787287857697	3.36451625318509	1.63467749015223	1.64248495720679	0.0390932349107214	48.2222222222222
Q04912	Ron	2.15080475013061	0.96657624451305	3.11738099464366	3.36451625318509	2.36507658671465	2.3293395617058	0.231048004517312	6.66666666666667
P43405	Syk	2.29687172822541	0.96657624451305	3.26344797273846	3.18842499412941	1.57293470429303	1.58281619379879	0.0372211128708371	56.6666666666667
P42685	FRK	2.20681119718249	0.96657624451305	3.17338744169554	3.06348625752111	1.6435578305237	1.64183587499732	0.0507518075778584	43
P51451	BLK	2.03235161675535	0.96657624451305	2.9989278612684	2.96657624451305	1.87303197836488	1.92026594912486	0.121815575867386	19.3333333333333
P29376	LTK	1.73791494981432	0.96657624451305	2.70449119432737	2.76245626185713	2.05189426740119	1.94637757717314	0.461844257215992	12.8888888888889
Q13882	Brk	1.80029924766448	0.96657624451305	2.76687549217753	2.71130373940974	1.56914360573194	1.56167425910582	0.0653811400120068	51.7777777777778
P12931	Src	1.48968348247728	0.96657624451305	2.45625972699033	2.51941821317083	1.61705895160876	1.60754510641742	0.0421989324011083	34
P21860	HER3	1.43311377955131	0.96657624451305	2.39969002406436	2.36451625318509	1.60583417764297	1.61016907837634	0.0513046670614805	35.7777777777778
Q06418	Tyro3/Sky	1.34570991579319	0.96657624451305	2.31228616030624	2.25057290087825	1.59562281377553	1.56915709765581	0.0709827413719909	35.3333333333333
P07949	Ret	1.3428383040887	0.96657624451305	2.30941454860175	2.23418248469008	1.79535004551758	1.80719868835199	0.126508730716215	15.1111111111111
P08581	Met	1.302142187173	0.96657624451305	2.26871843168605	2.23418248469008	1.67660247501763	1.70877207019961	0.0738681124966558	23.2222222222222
P07332	Fes	1.19492268788899	0.96657624451305	2.16149893240204	2.21838821750685	1.78500204807204	1.8275752359349	0.205014216419067	11.5555555555556
Q9H3Y6	Srm	1.12618237120873	0.96657624451305	2.09275861572178	2.21838821750685	1.54301114858698	1.57208460026232	0.0586506132993859	35.3333333333333
P08631	HCK	1.19794973582385	0.96657624451305	2.1645259803369	2.20314825095011	1.67705416792289	1.67712834299764	0.106193843167817	20.8888888888889
Q06187	BTK	1.15032008819807	0.96657624451305	2.11689633271112	2.1741845550148	1.73339767480542	1.7401666295036	0.076142472811018	15.2222222222222
P08069	IGF1R	1.15198234050532	0.96657624451305	2.11855858501837	2.16039627052916	1.65420647821106	1.73234028500844	0.215562786595164	13.4444444444444
Q15303	HER4	1.14393126584776	0.96657624451305	2.11050751036081	2.10924374808178	1.71750343710537	1.67594792514856	0.265112579388471	22.1111111111111
P11362	FGFR1	1.10731085087497	0.96657624451305	2.07388709538802	2.02209357236288	1.86007160069828	1.74887345207843	0.287681690622276	10.4444444444444
H0Y8A4	RYK	1.02747187299097	0.96657624451305	1.99404811750402	2.0027884171675	1.90771649553502	1.92332072368651	0.106850169796572	5.44444444444444
P42684	Arg	1.00314731549925	0.96657624451305	1.9697235600123	1.9331524890261	1.50262783656394	1.51597449229062	0.0340415797634475	39.5555555555556
Q9UM73	ALK	0.902613630007074	0.96657624451305	1.86918987452012	1.89469423720693	1.52892202575182	1.51278020263757	0.0990267666353825	32.5555555555556
P07947	Yes	0.926560628586826	0.96657624451305	1.89313687309988	1.74126696278719	1.52937682520408	1.57663951717787	0.143956191007064	20.6666666666667
P06239	Lck	1.01087534555112	0.96657624451305	1.97745159006417	1.7310477976055	1.55311417507406	1.521280895998	0.0750710113514151	27.8888888888889
P00519	Abl	0.862747672655497	0.96657624451305	1.82932391716855	1.70650485652798	1.48363777821267	1.47771445674424	0.0435911417388615	42.5555555555556
P04626	HER2	0.886226398799626	0.96657624451305	1.85280264331268	1.70175842150351	1.57768668825127	1.55921005319504	0.186062132739777	24.3333333333333
P42680	TEC	0.858774455979291	0.96657624451305	1.82535070049234	1.69706330029513	1.54738999302426	1.50684571082859	0.119545819091311	29.7777777777778
P16591	Fer	0.596789801576398	0.96657624451305	1.56336604608945	1.69241839524937	1.51294875899218	1.5583212640372	0.294634755339822	10.2222222222222
P51813	Etk/BMX	0.660383793204636	0.96657624451305	1.62696003771769	1.68782264356022	1.49029850094241	1.51103373523538	0.0756366640237165	22.4444444444444
Q14289	FAK2	0.700619856650029	0.96657624451305	1.66719610116308	1.6527090241439	1.51200318402337	1.49600704366224	0.0451769330026488	24.7777777777778
P21709	EphA1	0.478487495979443	0.96657624451305	1.44506374049249	1.52882568169266	1.54833458469131	1.6421107741678	0.128912371397618	3.6
P30530	Axl	0.585581390391497	0.96657624451305	1.55215763490455	1.52882568169266	1.43662598455201	1.41732757531914	0.0384902583152043	46.3333333333333
P10721	Kit	0.532991632004223	0.96657624451305	1.49956787651727	1.52566716244783	1.49386910242789	1.51729423961266	0.065333144837083	11
